Date,Hour,Minutes,Load,Load_denoised,Load_lin,Load_detrend
2008-01-01,11.621052631578948,22.736842105263158,1464842.5000000002,1464816.3220069702,1650745.8751568862,-185903.37515688594
2008-01-02,11.5,22.5,1900414.3999999997,1900406.743710557,1650791.555154544,249622.8448454556
2008-01-03,11.5,22.5,2023765.7000000004,2023846.2018214036,1650837.2351522022,372928.4648477982
2008-01-04,11.5,22.5,2074081.7,2074154.8261398247,1650882.91514986,423198.78485013987
2008-01-05,11.5,22.5,1910250.4000000008,1910095.5038955936,1650928.5951475182,259321.80485248263
2008-01-06,11.5,22.5,1708630.0,1708599.4305040857,1650974.275145176,57655.7248548239
2008-01-07,11.5,22.5,1981193.7999999996,1981306.6441460736,1651019.955142834,330173.8448571656
2008-01-08,11.5,22.5,2011680.9999999998,2011590.5702746771,1651065.635140492,360615.36485950765
2008-01-09,11.5,22.5,2004657.0000000002,2004714.741304982,1651111.31513815,353545.6848618502
2008-01-10,11.5,22.5,2003167.9999999995,2003116.7384223456,1651156.9951358081,352011.0048641914
2008-01-11,11.5,22.5,1967171.7000000002,1967144.5706091553,1651202.675133466,315969.02486653416
2008-01-12,11.5,22.5,1774099.9000000004,1774128.9897646836,1651248.355131124,122851.54486887646
2008-01-13,11.5,22.5,1570873.299999999,1570888.052570115,1651294.035128782,-80420.73512878292
2008-01-14,11.5,22.5,1889650.0000000007,1889721.7947458527,1651339.71512644,238310.28487356077
2008-01-15,11.5,22.5,1962254.8000000005,1962089.9827463361,1651385.395124098,310869.40487590246
2008-01-16,11.5,22.5,1958614.4999999998,1958688.444786773,1651431.075121756,307183.4248782438
2008-01-17,11.5,22.5,1979547.5000000002,1979504.97344406,1651476.7551194138,328070.7448805864
2008-01-18,11.5,22.5,1972406.4999999998,1972371.005213753,1651522.435117072,320884.0648829278
2008-01-19,11.5,22.5,1778576.6000000003,1778693.2139224322,1651568.1151147299,127008.48488527047
2008-01-20,11.5,22.5,1568092.5000000002,1568071.9596388186,1651613.795112388,-83521.29511238774
2008-01-21,11.5,22.5,1868545.8000000005,1868535.4898604755,1651659.4751100459,216886.32488995465
2008-01-22,11.5,22.5,1943731.5999999999,1943730.1310538668,1651705.155107704,292026.44489229587
2008-01-23,11.5,22.5,1975877.7000000002,1975903.761385526,1651750.8351053619,324126.8648946383
2008-01-24,11.5,22.5,1968285.9999999998,1968187.937798016,1651796.5151030198,316489.48489698
2008-01-25,11.5,22.5,1917246.9000000006,1917378.7193539334,1651842.195100678,265404.7048993227
2008-01-26,11.5,22.5,1739211.9000000008,1739220.7683084616,1651887.8750983358,87324.02490166505
2008-01-27,11.5,22.5,1550923.7000000002,1550854.5822222936,1651933.555095994,-101009.85509599373
2008-01-28,11.5,22.5,1868171.7,1868223.7409107338,1651979.2350936518,216192.46490634815
2008-01-29,11.5,22.5,1940401.5,1940283.8798602135,1652024.9150913097,288376.5849086903
2008-01-30,11.5,22.5,1945642.7000000007,1945684.842372921,1652070.5950889678,293572.10491103283
2008-01-31,11.5,22.5,1953260.8000000003,1953205.2877160844,1652116.2750866257,301144.52491337457
2008-02-01,11.5,22.5,1937844.5000000005,1937887.4805612983,1652161.9550842838,285682.54491571663
2008-02-02,11.5,22.5,1744080.0999999996,1744100.5409476634,1652207.6350819417,91872.4649180579
2008-02-03,11.5,22.5,1542725.3999999994,1542783.8393827977,1652253.3150795996,-109527.91507960018
2008-02-04,11.5,22.5,1850851.6999999995,1850846.384680606,1652298.9950772577,198552.70492274174
2008-02-05,11.5,22.5,1897030.4,1896977.018985636,1652344.6750749156,244685.72492508427
2008-02-06,11.5,22.5,1914213.7999999996,1914169.8368233151,1652390.3550725738,261823.44492742582
2008-02-07,11.5,22.5,1925333.8999999992,1925455.6619421442,1652436.0350702317,272897.86492976756
2008-02-08,11.5,22.5,1913661.6999999997,1913557.9585089537,1652481.7150678895,261179.98493211018
2008-02-09,11.5,22.5,1731265.9999999998,1731307.125448077,1652527.3950655477,78738.6049344521
2008-02-10,11.5,22.5,1523260.2000000002,1523252.189875596,1652573.0750632056,-129312.87506320537
2008-02-11,11.5,22.5,1852768.7999999996,1852771.2491883237,1652618.7550608637,200150.0449391359
2008-02-12,11.5,22.5,1927044.0000000005,1927108.5568541866,1652664.4350585216,274379.5649414789
2008-02-13,11.5,22.5,1944909.0999999999,1944811.7670517804,1652710.1150561795,292198.9849438204
2008-02-14,11.5,22.5,1926704.8999999994,1926755.8809753293,1652755.7950538376,273949.10494616185
2008-02-15,11.5,22.5,1928623.9000000004,1928449.435348409,1652801.4750514955,275822.4249485049
2008-02-16,11.5,22.5,1791796.599999999,1791898.2802680947,1652847.1550491536,138949.44495084533
2008-02-17,11.5,22.5,1610499.4999999993,1610499.0062599957,1652892.8350468115,-42393.33504681219
2008-02-18,11.5,22.5,1912542.299999999,1912502.3053010092,1652938.5150444694,259603.78495552973
2008-02-19,11.5,22.5,1944514.5000000002,1944570.149296163,1652984.1950421275,291530.3049578727
2008-02-20,11.5,22.5,1921722.4999999993,1921693.6266885463,1653029.8750397854,268692.6249602139
2008-02-21,11.5,22.5,1915281.4000000004,1915341.0185373102,1653075.5550374435,262205.84496255685
2008-02-22,11.5,22.5,1899604.1000000003,1899579.6016545945,1653121.2350351014,246482.8649648989
2008-02-23,11.5,22.5,1692072.4,1692137.482984663,1653166.9150327593,38905.4849672406
2008-02-24,11.5,22.5,1496592.8999999994,1496489.6076166541,1653212.5950304174,-156619.695030418
2008-02-25,11.5,22.5,1792770.6,1792909.2702661147,1653258.2750280753,139512.32497192477
2008-02-26,11.5,22.5,1846393.6000000003,1846292.601017306,1653303.9550257334,193089.64497426688
2008-02-27,11.5,22.5,1862744.9000000004,1862794.9284415576,1653349.6350233913,209395.26497660903
2008-02-28,11.5,22.5,1857943.0999999996,1857986.0520384144,1653395.3150210492,204547.7849789504
2008-02-29,11.5,22.5,1844453.2,1844440.0034085023,1653440.9950187074,191012.2049812926
2008-03-01,11.5,22.5,1686910.5,1686897.108424056,1653486.6750163652,33423.82498363475
2008-03-02,11.5,22.5,1497908.6,1497807.9636100351,1653532.3550140234,-155623.75501402328
2008-03-03,11.5,22.5,1790959.1,1791042.4090625315,1653578.0350116813,137381.06498831883
2008-03-04,11.5,22.5,1872458.1000000003,1872388.1573786866,1653623.7150093394,218834.38499066094
2008-03-05,11.5,22.5,1910521.4,1910586.148811957,1653669.3950069973,256852.00499300263
