Date,Hour,Minutes,Load,Load_lin,Load_detrend
2008-01-06,11.52,22.53913043478261,11081984.700000001,11538532.657560227,-456547.9575602263
2008-01-13,11.5,22.5,13312844.699999984,11540832.147499762,1772012.5525002219
2008-01-20,11.5,22.5,13109142.400000006,11543131.637439298,1566010.7625607084
2008-01-27,11.5,22.5,12963823.600000009,11545431.127378834,1418392.4726211745
2008-02-03,11.5,22.5,12932126.700000001,11547730.61731837,1384396.0826816317
2008-02-10,11.5,22.5,12755617.7,11550030.107257904,1205587.5927420948
2008-02-17,11.5,22.5,12982346.799999997,11552329.59719744,1430017.2028025575
2008-02-24,11.5,22.5,12782330.099999998,11554629.087136975,1227701.0128630232
2008-03-02,11.5,22.5,12389124.500000002,11556928.577076511,832195.9229234904
2008-03-09,11.5,22.5,12541857.399999997,11559228.067016046,982629.3329839502
2008-03-16,11.5,22.5,12376372.399999995,11561527.556955582,814844.8430444133
2008-03-23,11.5,22.5,12335309.099999988,11563827.046895117,771482.0531048719
2008-03-30,11.55688622754491,22.5,11775517.199999988,11566126.536834652,209390.66316533647
2008-04-06,11.5,22.5,11926501.499999998,11568426.026774189,358075.47322580963
2008-04-13,11.5,22.5,11896733.099999988,11570725.516713724,326007.5832862649
2008-04-20,11.5,22.5,11843617.500000002,11573025.006653259,270592.4933467433
2008-04-27,11.5,22.5,11571690.9,11575324.496592794,-3633.596592793241
2008-05-04,11.5,22.5,10299703.600000003,11577623.986532329,-1277920.3865323253
2008-05-11,11.5,22.5,11135241.800000004,11579923.476471866,-444681.6764718611
2008-05-18,11.5,22.5,11121591.700000009,11582222.9664114,-460631.266411392
2008-05-25,11.5,22.5,10541233.200000005,11584522.456350936,-1043289.2563509308
2008-06-01,11.5,22.5,11036011.800000006,11586821.94629047,-550810.1462904643
2008-06-08,11.5,22.5,11098489.2,11589121.436230006,-490632.23623000644
2008-06-15,11.5,22.5,11027853.900000004,11591420.926169543,-563567.0261695385
2008-06-22,11.5,22.5,11002083.500000007,11593720.416109078,-591636.9161090702
2008-06-29,11.5,22.5,11003022.900000002,11596019.906048613,-592997.0060486104
2008-07-06,11.5,22.5,10877383.899999972,11598319.395988148,-720935.4959881753
2008-07-13,11.5,22.5,10828774.9,11600618.885927685,-771843.9859276842
2008-07-20,11.5,22.5,10700419.000000002,11602918.37586722,-902499.3758672178
2008-07-27,11.5,22.5,10823231.699999984,11605217.865806755,-781986.1658067703
2008-08-03,11.5,22.5,10959669.0,11607517.35574629,-647848.3557462897
2008-08-10,11.5,22.5,10744801.500000006,11609816.845685825,-865015.3456858192
2008-08-17,11.5,22.5,10499459.900000006,11612116.335625362,-1112656.4356253557
2008-08-24,11.5,22.5,11082176.499999994,11614415.825564897,-532239.3255649023
2008-08-31,11.5,22.5,11143596.000000002,11616715.315504432,-473119.31550442986
2008-09-07,11.5,22.5,11321923.299999995,11619014.805443967,-297091.5054439716
2008-09-14,11.5,22.5,11333068.999999989,11621314.295383502,-288245.295383513
2008-09-21,11.5,22.5,11841916.80000002,11623613.785323039,218303.01467698067
2008-09-28,11.5,22.5,11922855.3,11625913.275262574,296942.024737427
2008-10-05,11.5,22.5,11904112.59999999,11628212.765202109,275899.83479788154
2008-10-12,11.5,22.5,12044816.000000013,11630512.255141644,414303.74485836923
2008-10-19,11.5,22.5,11984994.900000006,11632811.745081179,352183.1549188271
2008-10-26,11.44378698224852,22.5,12158145.500000002,11635111.235020716,523034.2649792861
2008-11-02,11.5,22.5,11924973.099999996,11637410.72496025,287562.3750397451
