Date,q1_forecast,q2_forecast,forecast
2016-08-04,1609535.9988590844,1931426.9896737228,1770481.4942664036
2016-08-05,1568387.0312490873,1961406.5034646818,1764896.7673568847
2016-08-06,1370796.0766355195,1794899.0479064551,1582847.5622709873
2016-08-07,1221836.3733531768,1661560.9514692605,1441698.6624112185
2016-08-08,1490469.4686397668,1946515.3086794205,1718492.3886595936
2016-08-09,1544982.1237425609,2013456.2579854187,1779219.1908639898
2016-08-10,1562274.4901834214,2033045.1205628726,1797659.8053731471
2016-08-11,1542789.0179479686,2047564.663930365,1795176.8409391667
2016-08-12,1517843.9510727134,2030596.8253900902,1774220.3882314018
2016-08-13,1325508.849774074,1842564.2504266142,1584036.5501003442
2016-08-14,1183078.9670285995,1705960.4326229526,1444519.699825776
2016-08-15,1443927.848551007,1978226.468661549,1711077.158606278
2016-08-16,1496551.0841225518,2039713.2733900668,1768132.1787563094
2016-08-17,1515510.7686800538,2059813.9748615997,1787662.3717708269
2016-08-18,1494809.019389415,2080470.4650130053,1787639.74220121
2016-08-19,1469869.3792133746,2067073.2742446796,1768471.326729027
2016-08-20,1277928.171144203,1881953.592960609,1579940.882052406
2016-08-21,1135498.1435418562,1747951.7215133698,1441724.9325276131
2016-08-22,1402032.3923804585,2028611.4757973738,1715321.934088916
2016-08-23,1457200.9646131685,2094085.0919920262,1775643.0283025973
2016-08-24,1475107.6151822542,2113121.47906321,1794114.547122732
2016-08-25,1457981.0183172016,2124091.9930656613,1791036.5056914315
2016-08-26,1432954.212992469,2105825.9143201313,1769390.0636563003
2016-08-27,1241346.9449441284,1918826.4935224385,1580086.7192332835
2016-08-28,1100312.5059808355,1784951.6238243408,1442632.0649025883
2016-08-29,1366327.0911202482,2063715.0958871522,1715021.0935037
2016-08-30,1421455.5829893332,2127788.1924611144,1774621.8877252238
2016-08-31,1439303.328500702,2146462.546099717,1792882.9373002094
2016-09-01,1423156.8309959322,2156573.8586685685,1789865.3448322504
2016-09-02,1398477.5879380247,2138535.7238022583,1768506.6558701415
2016-09-03,1207294.3351695007,1952065.466079983,1579679.9006247418
2016-09-04,1066692.5602343702,1818660.8256657969,1442676.6929500836
2016-09-05,1334024.4056662782,2098300.2914087465,1716162.3485375124
2016-09-06,1389763.7415042124,2162476.0782703524,1776119.9098872824
2016-09-07,1407307.8941819307,2180742.3204243546,1794025.1073031428
2016-09-08,1392228.7616824508,2188694.355485805,1790461.5585841278
2016-09-09,1367676.6636568417,2169892.3802222535,1768784.5219395477
2016-09-10,1176748.5174115452,1983217.1984560008,1579982.857933773
2016-09-11,1036613.5586391885,1849770.869285333,1443192.2139622606
2016-09-12,1304211.9640158215,2128793.021239355,1716502.4926275883
2016-09-13,1360116.1134584956,2192420.3090032116,1776268.2112308536
2016-09-14,1377589.2238845937,2210520.5830606655,1794054.9034726296
2016-09-15,1363267.4985307436,2217676.323984768,1790471.9112577555
2016-09-16,1338953.6174122016,2198810.742717433,1768882.1800648172
2016-09-17,1148251.891266538,2012184.193143161,1580218.0422048497
2016-09-18,1008381.8292033349,1878682.1069945027,1443531.968098919
2016-09-19,1276455.0316511018,2157519.137965301,1716987.0848082013
2016-09-20,1332610.171867819,2220907.467468165,1776758.8196679922
2016-09-21,1350019.326528123,2238891.40278617,1794455.3646571466
2016-09-22,1336347.7460800887,2245234.287050928,1790791.0165655084
2016-09-23,1312193.539971895,2226172.01614794,1769182.7780599175
2016-09-24,1121645.0549138505,2039463.6499748752,1580554.3524443628
2016-09-25,981994.9062476966,1905824.6033040502,1443909.7547758734
2016-09-26,1250339.1997875075,2184310.133338115,1717324.6665628115
