Date,q1_forecast,q2_forecast,forecast
2016-07-03,11258834.637566304,12843944.907573214,12051389.772569759
2016-07-10,11223743.099248324,12964774.820574518,12094258.959911421
2016-07-17,11289047.516497664,13050626.127500251,12169836.821998958
2016-07-24,11163940.570739374,12931107.415577475,12047523.993158424
2016-07-31,11123688.488961918,12897075.130800668,12010381.809881292
2016-08-07,11267153.124351535,13048847.095478559,12158000.109915046
2016-08-14,10691095.589859432,12482994.577285431,11587045.08357243
2016-08-21,11061665.736484699,12854735.716401612,11958200.726443155
2016-08-28,11244765.109844942,13068179.391330274,12156472.250587609
2016-09-04,11319273.459844414,13173213.913369097,12246243.686606755
2016-09-11,11213939.307281476,13091843.230583314,12152891.268932395
2016-09-18,11442038.328887895,13338816.004679466,12390427.16678368
2016-09-25,11475371.492130183,13387051.519179791,12431211.505654987
2016-10-02,11592368.58516188,13515837.884731913,12554103.234946897
2016-10-09,11665398.014698818,13598207.72962931,12631802.872164063
2016-10-16,12016755.366021171,13956973.905771114,12986864.635896143
2016-10-23,12142882.1630423,14088982.7280734,13115932.44555785
2016-10-30,11772338.526399406,13723112.290665284,12747725.408532346
2016-11-06,12204637.027850104,14159125.68100174,13181881.354425922
2016-11-13,11764431.999301324,13721875.058192044,12743153.528746683
2016-11-20,12409147.899240246,14368941.386166431,13389044.642703338
2016-11-27,12790396.492739543,14752060.423216134,13771228.457977839
2016-12-04,12738280.210521836,14701432.94691869,13719856.578720264
2016-12-11,12835275.181317793,14799613.161394117,13817444.171355955
2016-12-18,12713514.809712868,14678796.497816775,13696155.653764822
2016-12-25,10468483.978874069,12434517.143979711,11451500.561426891
