Date,q1_forecast,q2_forecast,forecast
2015-07-05,11045206.025753371,12603010.315742716,11824108.170748044
2015-07-12,11072190.399999324,12811364.536582928,11941777.468291126
2015-07-19,11074842.458092509,12837117.384507129,11955979.921299819
2015-07-26,11202877.137913443,12969791.681739341,12086334.409826392
2015-08-02,11008402.03786365,12788531.36284578,11898466.700354716
2015-08-09,10818372.16076158,12611073.720577318,11714722.940669449
2015-08-16,10256760.581698332,12062129.528413363,11159445.055055847
2015-08-23,10881609.105004748,12688350.297565887,11784979.701285318
2015-08-30,10939648.887126988,12771097.077520141,11855372.982323565
2015-09-06,11023028.973235335,12885622.046291284,11954325.50976331
2015-09-13,11136055.132867042,13023013.980193013,12079534.556530029
2015-09-20,11113264.578879353,13019350.24728644,12066307.413082898
2015-09-27,11283356.500872634,13204494.99322486,12243925.747048747
2015-10-04,11460574.67947996,13393583.009341925,12427078.844410943
2015-10-11,11575369.284699902,13517751.69505326,12546560.489876581
2015-10-18,11662130.545779642,13611924.7406484,12637027.64321402
2015-10-25,11875055.797343353,13830715.62592942,12852885.711636387
2015-11-01,11416978.964104446,13377284.14667152,12397131.555387983
2015-11-08,11986427.33091103,13950413.527879257,12968420.429395143
2015-11-15,11711222.531210428,13678126.887221532,12694674.70921598
2015-11-22,12384906.959936611,14354125.524020074,13369516.241978344
2015-11-29,12621541.55372339,14592595.877808336,13607068.715765862
2015-12-06,12873504.286313947,14846015.156802868,13859759.721558407
2015-12-13,12977188.29994111,14950855.037441706,13964021.668691408
2015-12-20,12672618.020825125,14647202.141785152,13659910.081305139
2015-12-27,10401848.80396979,12377161.108847473,11389504.956408631
2016-01-03,11119897.420780204,13095787.779951906,12107842.600366054
2016-01-10,12241521.25182891,14217870.519198783,13229695.885513846
2016-01-17,12690877.681373442,14667591.288454175,13679234.484913807
2016-01-24,12898863.71796448,14875866.596683055,13887365.157323768
2016-01-31,12768599.054220265,14745831.611258022,13757215.332739145
2016-02-07,12589000.086175825,14566415.010063084,13577707.548119454
2016-02-14,12427018.658763947,14404578.38683642,13415798.522800183
2016-02-21,12345771.96594359,14323446.67439489,13334609.32016924
2016-02-28,12129493.325936103,14107259.334693277,13118376.33031469
2016-03-06,12114626.29853638,14092464.805188274,13103545.551862327
2016-03-13,12038021.248063203,14015917.322863609,13026969.285463406
2016-03-20,11880265.358808873,13858207.146856247,12869236.25283256
2016-03-27,11669828.351593282,13647806.439439047,12658817.395516165
2016-04-03,11484313.474349305,13462320.387121683,12473316.930735495
2016-04-10,11163638.317742893,13141668.11987686,12152653.218809877
2016-04-17,11274579.149129186,13252627.127347045,12263603.138238115
2016-04-24,10939025.71881902,12917088.130411554,11928056.924615288
2016-05-01,10152231.44233992,12130305.3152934,11141268.37881666
2016-05-08,10944021.802074574,12922104.776362617,11933063.289218595
2016-05-15,10887890.566934321,12865980.768494928,11876935.667714624
2016-05-22,10920108.2822235,12898204.222888928,11909156.252556214
2016-05-29,10765399.641609363,12743500.13964358,11754449.890626471
2016-06-05,10485438.288397115,12463542.405396663,11474490.346896889
2016-06-12,10980485.117062895,12958592.107851304,11969538.6124571
2016-06-19,10754217.407260165,12732326.680100055,11743272.043680111
2016-06-26,10844183.62382925,12822294.708827453,11833239.16632835
2016-07-03,10773161.40137147,12950003.505804207,11861582.45358784
2016-07-10,10902437.672997411,13125713.613127675,12014075.643062543
2016-07-17,10930901.449241156,13160467.371634336,12045684.410437746
2016-07-24,11003952.313679673,13234817.753166411,12119385.033423042
2016-07-31,10902304.643812865,13136808.440989476,12019556.54240117
2016-08-07,10742140.101525465,12980117.600287983,11861128.850906724
2016-08-14,10084725.70421263,12326213.69640012,11205469.700306376
2016-08-21,10719158.77092515,12961001.771056617,11840080.270990882
2016-08-28,10813430.386769917,13062122.608018275,11937776.497394096
2016-09-04,10917825.253851622,13175233.59642689,12046529.425139256
2016-09-11,11045876.054371746,13310181.904511012,12178028.979441378
2016-09-18,11055708.868790787,13325477.047668578,12190592.958229681
2016-09-25,11233826.10367693,13507922.531232003,12370874.317454467
2016-10-02,11421404.56310408,13698932.161581801,12560168.36234294
2016-10-09,11520430.09695617,13800678.685059302,12660554.391007736
2016-10-16,11626598.183941912,13909005.179045409,12767801.68149366
2016-10-23,11802975.863398364,14087095.380627075,12945035.62201272
2016-10-30,11345036.483301552,13630514.987597097,12487775.735449325
2016-11-06,11936264.471767426,14222821.562277822,13079543.017022623
2016-11-13,11629519.576279063,13916932.801831406,12773226.189055234
2016-11-20,12341778.435301403,14629871.283161739,13485824.85923157
2016-11-27,12605000.486803921,14893632.873944867,13749316.680374395
2016-12-04,12815979.575477751,15105040.316177912,13960509.945827832
2016-12-11,12912005.395934854,15201406.231933765,14056705.81393431
2016-12-18,12615492.012580944,14905162.879754193,13760327.446167568
2016-12-25,10334575.158448506,12624460.432695054,11479517.79557178
2017-01-01,11043708.227777625,13333763.746794231,12188735.987285927
