,lower Load_detrend,upper Load_detrend,mean Load,Load_lin
2016-12-01,120817.51454949123,444458.81265102455,282638.1636002579,1799165.9947355092
2016-12-02,109908.31937631179,433549.61530335335,271728.96733983257,1799211.4126494722
2016-12-03,-86755.63337055937,236885.6621217219,75065.01437558126,1799256.830563435
2016-12-04,-288756.21369447885,34885.08137349613,-126935.56616049136,1799302.2484773982
2016-12-05,87057.39137588823,410698.68428899115,248878.0378324397,1799347.666391361
2016-12-06,122380.75193006068,446022.0434600167,284201.3976950387,1799393.0843053241
2016-12-07,144786.4561612283,468427.747691045,306607.10192613665,1799438.5022192872
2016-12-08,149969.95966748107,473611.2498148253,311790.6047411532,1799483.92013325
2016-12-09,134858.14136371587,458499.42937763955,296678.7853706777,1799529.3380472132
2016-12-10,-72042.60407069212,251598.6835288511,89778.0397290795,1799574.755961176
2016-12-11,-268758.66279543575,54882.62437261782,-106938.01921140897,1799620.173875139
2016-12-12,45861.51208840366,369502.79712726583,207682.15460783476,1799665.5917891022
2016-12-13,144011.10849481256,467652.3921888192,305831.7503418159,1799711.009703065
2016-12-14,141533.6651744123,465174.94886810286,303354.3070212576,1799756.4276170281
2016-12-15,142912.6177576053,466553.9000732468,304733.25891542603,1799801.845530991
2016-12-16,165509.76510002883,489151.045322814,327330.4052114214,1799847.263444954
2016-12-17,-49747.891228131644,273893.38859995827,112072.7486859133,1799892.681358917
2016-12-18,-213386.7166649073,110254.56272466555,-51566.07697012087,1799938.09927288
2016-12-19,137019.0471722001,460660.3244582252,298839.68581521267,1799983.5171868429
2016-12-20,162727.0092960641,486368.2852747287,324547.6472853964,1800028.935100806
2016-12-21,159379.35048777846,483020.6264656886,321199.9884767335,1800074.353014769
2016-12-22,142541.3743284362,466182.64893297595,304362.0116307061,1800119.770928732
2016-12-23,139799.16950996497,463440.44206170586,301619.80578583543,1800165.188842695
2016-12-24,-85471.5675562924,306650.663536305,110589.54799000631,1800210.6067566578
2016-12-25,-281633.31447668915,138609.52858899935,-71511.8929438449,1800256.024670621
2016-12-26,46421.03331578593,481247.75890806084,263834.3961119234,1800301.442584584
2016-12-27,84590.03028098727,536555.2139307981,310572.6221058927,1800346.8604985469
2016-12-28,76729.23531440133,539836.9838067973,308283.1095605993,1800392.27841251
2016-12-29,78995.60813403784,543942.8690536489,311469.23859384336,1800437.6963264728
2016-12-30,66296.86733760638,564772.9664954102,315534.9169165083,1800483.1142404359
2016-12-31,-126640.6276998872,379839.28779420926,126599.33004716103,1800528.5321543987
2017-01-01,-311783.595494663,198665.68574520713,-56558.95487472793,1800573.9500683618
