Date,q1_forecast,q2_forecast,forecast
2016-12-02,1908447.717829203,2232984.7444965467,2070716.2311628747
2016-12-03,1711003.5208844158,2035540.5471749464,1873272.0340296812
2016-12-04,1472576.0571977212,1866924.6521202049,1669750.3546589632
2016-12-05,1801101.0647950838,2223245.374019139,2012173.2194071114
2016-12-06,1839561.9397066177,2276573.257640137,2058067.5986733774
2016-12-07,1832444.609295904,2285727.6055757594,2059086.1074358316
2016-12-08,1828781.638716722,2293306.7669643248,2061044.2028405236
2016-12-09,1835309.777739332,2301604.7639964838,2068457.270867908
2016-12-10,1623781.849270878,2123687.187653299,1873734.5184620884
2016-12-11,1422589.808937861,1930459.549660073,1676524.679298967
2016-12-12,1766301.1090159754,2278071.9918160504,2022186.550416013
2016-12-13,1810870.0839963844,2328682.858855077,2069776.4714257307
2016-12-14,1802582.5032514676,2332127.055999347,2067354.7796254072
2016-12-15,1795862.0991877886,2333790.946838719,2064826.5230132537
2016-12-16,1801331.9570762077,2340132.1579334075,2070732.0575048076
2016-12-17,1589324.5269494555,2169268.7924487144,1879296.659699085
2016-12-18,1384142.4260478197,1975358.656219585,1679750.5411337023
2016-12-19,1721609.5043924986,2318880.0474042753,2020244.775898387
2016-12-20,1760132.067972974,2365828.619963095,2062980.3439680345
2016-12-21,1750438.4816105957,2370543.6476942264,2060491.064652411
2016-12-22,1746757.306415426,2376555.8496196014,2061656.5780175137
2016-12-23,1756020.8684010357,2386680.214327352,2071350.541364194
2016-12-24,1551235.7772663233,2209834.372720722,1880535.0749935228
2016-12-25,1348610.2755021672,2013841.3815537137,1681225.8285279404
2016-12-26,1686831.777921561,2356149.045504664,2021490.4117131124
2016-12-27,1725937.3657261885,2402508.1248550676,2064222.745290628
2016-12-28,1716745.5713982708,2406410.5279359263,2061578.0496670986
2016-12-29,1713532.6522229805,2411729.9659885075,2062631.309105744
2016-12-30,1723018.4536786673,2421843.5177971516,2072430.9857379093
2016-12-31,1519522.1004946502,2244431.152357774,1881976.626426212
2017-01-01,1316302.4083130243,2047653.8993726003,1681978.1538428124
