Date,q1_forecast,q2_forecast,forecast
2016-07-03,11280365.95692981,12826341.734278671,12053353.84560424
2016-07-10,11260247.081966756,12952414.296202833,12106330.689084794
2016-07-17,11300856.69842291,13012663.981792163,12156760.340107536
2016-07-24,11197949.512593819,12916152.8899294,12057051.20126161
2016-07-31,11128380.217039391,12851939.533012806,11990159.8750261
2016-08-07,11305221.407074973,13040014.861851342,12172618.134463158
2016-08-14,10720788.10108796,12466137.310375933,11593462.705731947
2016-08-21,11087076.997149289,12833879.178428043,11960478.087788666
2016-08-28,11273142.91551832,13048059.65828059,12160601.286899455
2016-09-04,11345886.364245294,13150542.223845782,12248214.294045538
2016-09-11,11232382.611045873,13060199.37193706,12146290.991491467
2016-09-18,11472991.09053844,13318906.613181295,12395948.851859868
2016-09-25,11500385.082751026,13360479.694373261,12430432.388562145
2016-10-02,11615865.852213552,13487090.359668456,12551478.105941005
2016-10-09,11688691.122862767,13568665.105645264,12628678.114254015
2016-10-16,12050513.131035382,13937373.226540275,12993943.178787827
2016-10-23,12173528.612022115,14065813.156983698,13119670.884502906
2016-10-30,11802714.40005958,13699274.976473136,12750994.688266357
2016-11-06,12234281.062848194,14134214.229804631,13184247.646326413
2016-11-13,11794203.966141231,13696798.302400233,12745501.134270731
2016-11-20,12429423.613107577,14334118.472966064,13381771.04303682
2016-11-27,12814822.327122867,14721175.61855869,13767998.972840779
2016-12-04,12752697.899861624,14660360.849655494,13706529.37475856
2016-12-11,12852927.351403778,14761624.704146385,13807276.027775083
2016-12-18,12740134.853186287,14649649.3105481,13694892.081867194
2016-12-25,10490868.223638153,12401028.20128904,11445948.212463597
2017-01-01,11104906.057625663,13015576.043403529,12060241.050514596
