Date,q1_forecast,q2_forecast,forecast
2016-07-03,12560603.047637915,12560603.60987924,12560603.32875858
2016-07-10,12562901.414951738,12562902.01669252,12562901.715822129
2016-07-17,12565199.79543312,12565200.398979018,12565200.09720607
2016-07-24,12567498.117282383,12567498.720922928,12567498.419102658
2016-07-31,12569796.455003638,12569797.058682976,12569796.756843306
2016-08-07,12572094.890014827,12572095.494375767,12572095.192195298
2016-08-14,12574393.006613929,12574393.611657163,12574393.309135543
2016-08-21,12576691.52931218,12576692.138175651,12576691.833743917
2016-08-28,12578989.969020324,12578990.583778206,12578990.276399266
2016-09-04,12581288.362938708,12581288.984908232,12581288.67392347
2016-09-11,12583586.684623566,12583587.312925791,12583586.998774678
2016-09-18,12585885.147399642,12585885.781270644,12585885.464335144
2016-09-25,12588183.522175776,12588184.16094972,12588183.841562748
2016-10-02,12590481.933340115,12590482.576435272,12590482.254887694
2016-10-09,12592780.323004838,12592780.969911916,12592780.646458376
2016-10-16,12595078.829268027,12595079.479540374,12595079.1544042
2016-10-23,12597377.23574002,12597377.88898532,12597377.562362667
2016-10-30,12599675.436590008,12599676.09246322,12599675.764526617
2016-11-06,12601973.984916257,12601974.64311358,12601974.314014915
2016-11-13,12604272.16910035,12604272.829354024,12604272.499227189
2016-11-20,12606570.786900152,12606571.448973976,12606571.117937064
2016-11-27,12608869.30442216,12608869.968107618,12608869.636264889
2016-12-04,12611167.640213436,12611168.305326335,12611167.972769886
2016-12-11,12613466.04390465,12613466.71028218,12613466.377093414
2016-12-18,12615764.356716331,12615765.024214515,12615764.690465426
2016-12-25,12618061.782661298,12618062.45115276,12618062.116907028
2017-01-01,12620360.397833342,12620361.067205336,12620360.73251934
