,lower Load,upper Load,mean Load
2016-12-22 00:00:00,71412.09572797916,75498.10371196414,73455.09971997165
2016-12-22 01:00:00,68503.68502992402,72589.693013909,70546.6890219165
2016-12-22 02:00:00,64907.93823643427,72752.5749452472,68830.25659084073
2016-12-22 03:00:00,63195.07550418153,74074.59814372184,68634.83682395169
2016-12-22 04:00:00,63345.480243735634,76376.05650484217,69860.7683742889
2016-12-22 05:00:00,64944.351606252734,79659.8192596883,72302.08543297052
2016-12-22 06:00:00,72549.83286057874,88789.13388076554,80669.48337067214
2016-12-22 07:00:00,79796.29526749863,97427.41401788733,88611.85464269298
2016-12-22 08:00:00,82047.99212692548,100894.07378776166,91471.03295734357
2016-12-22 09:00:00,83857.69728725942,103797.39645061639,93827.5468689379
2016-12-22 10:00:00,83273.69157137093,104214.11086599319,93743.90121868206
2016-12-22 11:00:00,83807.45511774726,105611.92814714562,94709.69163244644
2016-12-22 12:00:00,83397.31573801041,105929.67275462324,94663.49424631683
2016-12-22 13:00:00,83833.7039712623,107013.37059112563,95423.53728119396
2016-12-22 14:00:00,81949.72268022163,105718.12779268675,93833.92523645419
2016-12-22 15:00:00,82112.36146915786,106414.42091012307,94263.39118964046
2016-12-22 16:00:00,86145.12614807629,110923.84263272653,98534.48439040141
2016-12-22 17:00:00,85967.91405356718,111175.26108473072,98571.58756914895
2016-12-22 18:00:00,84596.96968088523,110204.83638948773,97400.90303518648
2016-12-22 19:00:00,83841.42684053155,109823.0323224242,96832.22958147788
2016-12-22 20:00:00,81217.9237225153,107527.92461993483,94372.92417122507
2016-12-22 21:00:00,76026.2171964966,102632.12289853064,89329.17004751362
2016-12-22 22:00:00,69679.04967307675,96564.38117451925,83121.715423798
2016-12-22 23:00:00,63835.49941539942,90976.69137586065,77406.09539563004
2016-12-23 00:00:00,58894.27333141984,86263.83029151628,72579.05181146806
2016-12-23 01:00:00,56044.902948365416,83892.05165513254,69968.47730174898
2016-12-23 02:00:00,54124.15856476909,82636.25395402146,68380.20625939527
2016-12-23 03:00:00,53629.244347142245,82844.99316580292,68237.11875647258
2016-12-23 04:00:00,54451.058146146075,84295.28316126074,69373.1706537034
2016-12-23 05:00:00,56602.77155396325,87004.32117625827,71803.54636511076
2016-12-23 06:00:00,64563.67138427811,95496.29424703482,80029.98281565646
2016-12-23 07:00:00,72031.06144053621,103474.63924716636,87752.85034385129
2016-12-23 08:00:00,74692.77894403633,106599.09570022924,90645.93732213278
2016-12-23 09:00:00,76867.34907075201,109199.39954988786,93033.37431031994
2016-12-23 10:00:00,76748.87931363315,109483.45217528984,93116.1657444615
2016-12-23 11:00:00,77566.91671247297,110665.13868990121,94116.0277011871
2016-12-23 12:00:00,77422.01324560316,110840.71920307525,94131.3662243392
2016-12-23 13:00:00,78030.1693222307,111742.12074795672,94886.14503509371
2016-12-23 14:00:00,76325.825419957,110306.56446729563,93316.19494362631
2016-12-23 15:00:00,76644.59863569269,110873.79636756454,93759.19750162862
2016-12-23 16:00:00,80715.19504095761,115172.50572156596,97943.85038126179
2016-12-23 17:00:00,80563.7091381738,115226.49024473237,97895.09969145308
2016-12-23 18:00:00,79273.54919446765,114127.33124646531,96700.44022046648
2016-12-23 19:00:00,78647.5026358907,113682.76970543785,96165.13617066428
2016-12-23 20:00:00,76104.37315649462,111301.57678401763,93702.97497025612
2016-12-23 21:00:00,70987.83906407247,106331.55198267358,88659.69552337303
2016-12-23 22:00:00,64846.40729870463,100328.95271142456,82587.6800050646
2016-12-23 23:00:00,59167.70456633925,94777.93722496399,76972.82089565162
2016-12-24 00:00:00,54351.191373580405,90076.81481303298,72214.00309330669
2016-12-24 01:00:00,51656.46622630017,87601.57072596386,69629.01847613201
2016-12-24 02:00:00,49958.219125505784,86197.56066324476,68077.88989437527
2016-12-24 03:00:00,49683.802404525624,86234.86665339835,67959.33452896199
2016-12-24 04:00:00,50667.253019771146,87503.52150770639,69085.38726373877
2016-12-24 05:00:00,52969.13750802397,90061.06442694695,71515.10096748546
2016-12-24 06:00:00,61042.84305959476,98378.65620069152,79710.74963014314
2016-12-24 07:00:00,68608.14795170866,106181.47545838829,87394.81170504847
2016-12-24 08:00:00,71411.57489886793,109201.96484313405,90306.76987100099
2016-12-24 09:00:00,73704.8931707956,111696.12358284087,92700.50837681824
2016-12-24 10:00:00,73734.07242377187,111916.64658786144,92825.35950581665
2016-12-24 11:00:00,74665.50016400407,113021.65582209287,93843.57799304847
2016-12-24 12:00:00,74624.45875077906,113134.91206449833,93879.6854076387
2016-12-24 13:00:00,75308.7708786411,113962.27400178283,94635.52244021196
2016-12-24 14:00:00,73681.68617061808,112466.01272740119,93073.84944900963
2016-12-24 15:00:00,74072.32513277026,112977.61082645683,93524.96797961355
2016-12-24 16:00:00,78188.56057602752,117206.38177196725,97697.47117399739
2016-12-24 17:00:00,78072.74222890491,117192.16368143054,97632.45295516773
2016-12-24 18:00:00,76825.46713918148,116038.96428442985,96432.21571180566
2016-12-24 19:00:00,76258.52241130202,115562.09199843352,95910.30720486777
